"name","output","price","value"
"香石竹","4032","37080","149523"
"洋桔梗","1424","70500","100380"
"大理花","1585","42000","66577"
"夜來香","2293","45720","104820"
"唐菖蒲","5693","61200","348424"
"菊花","22017","48000","1056839"
"其他青果類","31842","20045","638266"
"可可椰子","41807","4850","202762"
"百香果","4770","26000","124010"
"番荔枝","78830","37000","2916713"
"棗","38795","34000","1319031"
"木瓜","92914","21000","1951197"
"蘋果","5953","40500","241092"
"梨","150429","31250","4700904"
"楊桃","20196","20100","405931"
"橄欖","2579","21200","54671"
"荔枝","99721","29500","2941758"
"梅","37834","21640","818730"
"柿","32962","28400","936127"
"桃","28435","42200","1199958"
"李","25830","21000","542430"
"枇杷","7107","111410","791838"
"葡萄","90081","41500","3738353"
"蓮霧","82223","32400","2664019"
"番石榴","131703","16900","2225783"
"檳榔","134497","63940","8599766"
"芒果","215292","31550","6792447"
"龍眼","108612","25500","2769603"
"其他雜柑類","45934","24086","1106373"
"葡萄柚","9167","16030","146951"
"檸檬","17166","20000","343323"
"柳橙","192910","10450","2015906"
"白柚","8777","32000","280854"
"斗柚","801","20000","16026"
"文旦柚","63711","29160","1857819"
"桶柑","44881","27950","1254410"
"椪柑","89727","22550","2023342"
"鳳梨","476811","14000","6675357"
"香蕉","241729","13650","3299602"
"香菇","4184","695930","2911670"
"洋菇","4304","65000","279738"
"草莓","6096","93000","566940"
"洋香瓜","50702","27000","1368948"
"香瓜","31481","25000","787035"
"西瓜","220773","12000","2649278"
"其他果菜類","111998","17995","2015410"
"毛豆","43343","14850","643642"
"荷蘭豆","6295","45000","283285"
"菜豆","16423","25000","410587"
"番椒","26272","31724","833471"
"蕃茄","96841","20000","1936820"
"茄子","25500","21500","548253"
"苦瓜","31313","25600","801624"
"冬瓜","28060","9500","266573"
"胡瓜","47900","13200","632284"
"越瓜","4407","7400","32614"
"金針菜","602","370000","222811"
"花椰菜","67917","20900","1419469"
"其他葉菜類","211157","15971","3372338"
"不結球白菜","72896","15000","1093437"
"結球白菜","88733","11000","976060"
"甘藍","318717","10950","3489946"
"芹菜","29057","20000","581135"
"甕菜","35176","19500","685941"
"大芥菜","48663","10500","510963"
"其他莖菜類","36408","18510","673910"
"荸薺","106","30000","3176"
"蘆筍","3141","63000","197869"
"竹筍","291709","20400","5950859"
"韭菜","30945","23000","711736"
"茭白筍","44291","37500","1660924"
"蒜頭","43840","48500","2126233"
"蒜","20822","35280","734607"
"洋蔥","67295","12000","807534"
"馬鈴薯","47389","14000","663451"
"蔥頭","7905","25000","197624"
"蔥","97920","38000","3720957"
"芋","42472","18000","764495"
"薑","32373","24510","793461"
"其他根菜類","11573","10514","121680"
"胡蘿蔔","85793","9000","772137"
"蘿蔔","110856","8500","942273"
"其他特用作物","30402","49892","1516794"
"山藥","15782","25000","394557"
"香花作物","105","193400","20264"
"樹薯","819","10000","8191"
"芝麻","313","170740","53449"
"菸草","1672","179275","299736"
"茶葉","17502","257100","4499869"
"生食用甘蔗","60043","8860","531977"
"製糖甘蔗","720874","770","554713"
"其他豆類","772","28000","21623"
"綠豆","64","74270","4737"
"紅豆","6056","70500","426942"
"花豆","21","25000","518"
"落花生","51885","40500","2101358"
"大豆","147","25000","3687"
"其他糧食作物","189","34864","6578"
"甘藷","200087","10000","2000871"
"蜀黍","4895","14000","68525"
"栗","608","24000","14587"
"小麥","296","22000","6503"
"食用玉米","84985","13070","1110750"
"飼料玉米","33885","15000","508274"
"稻米","1098268","23757","26091341"
"蠶","-","-","-"
"盆花類(公頃)","800","1194315","955619"
"苗圃類(公頃)","7808","335196","2617307"
"種籽類","0","1069500","475"
"球根類","76","43700","3327"
"蘭花","54087","49000","2650285"
"其他切花","24612","62042","1526965"
"天堂鳥","358","84000","30077"
"非洲菊","6130","42000","257467"
"火鶴花","4439","132000","585890"
"滿天星","96","60000","5739"
"玫瑰","12357","52680","650980"
"百合","6445","159468","1027692"
"香石竹","5438","36000","195773"
"洋桔梗","1341","68000","91188"
"大理花","1702","39600","67405"
"夜來香","1501","50400","75658"
"唐菖蒲","4431","60720","269025"
"菊花","17507","46800","819328"
"其他青果類","31095","23179","720738"
"可可椰子","37911","4410","167187"
"百香果","5867","26500","155488"
"番荔枝","67749","42500","2879343"
"棗","31090","42000","1305766"
"木瓜","94359","25000","2358977"
"蘋果","4163","45000","187342"
"梨","138381","34850","4822569"
"楊桃","19038","22110","420926"
"橄欖","2452","21500","52718"
"荔枝","79565","36400","2896173"
"梅","35812","22320","799320"
"柿","33899","29500","1000034"
"桃","29329","41400","1214207"
"李","23001","30000","690034"
"枇杷","7738","111920","866055"
"葡萄","84656","45000","3809507"
